Date,Time,Temp,LDO%,LDO,PAR,PAR,SpCond,TurbSC,IBatt
M/D/YYYY,HH:MM:SS,C,Sat,mg/l,mE/s/m^2,uE/s/m^2,uS/cm,NTU,Volts
5/12/2009,12:00:00,18.71,93.5,8.84,,2,1,3000,12.1
5/12/2009,12:15:00,18.27,93.2,8.9,,1,0,3000,12.1
5/12/2009,12:30:00,17.81,93.8,9.03,,2,1,3000,12.1
5/12/2009,12:45:00,17.44,93,9.03,,2,1,3000,12.1
5/12/2009,13:00:00,17.15,92.6,9.04,,1,1,3000,12.1
5/12/2009,13:15:00,16.92,91.9,9.02,,2,1,3000,12.1
5/12/2009,13:30:00,16.78,91.9,9.05,,1,2,3000,12.1
5/12/2009,13:45:00,16.39,92.5,9.17,,2,0,3000,12.1
5/12/2009,14:00:00,15.92,95.4,9.56,,1,5,8.3,12.1
5/12/2009,14:15:00,15.67,95.2,9.59,,1,6,5,12.1
5/12/2009,14:30:00,15.44,95,9.62,,1,5,4.9,12.1
5/12/2009,14:45:00,15.35,94.5,9.58,,1,6,1.1,12.1
5/12/2009,15:00:00,15.19,95,9.67,,1,6,28.6,12.1
5/12/2009,15:15:00,15.23,94.4,9.6,,1,6,27.6,12.1
5/12/2009,15:30:00,15.4,94.1,9.53,,1,6,29.9,12.1
5/12/2009,15:45:00,15.66,93.9,9.47,,1,6,24,12.1
5/12/2009,16:00:00,15.94,94,9.42,,2,6,30.9,12.1
5/12/2009,16:15:00,16.24,94.1,9.36,,1,6,30.6,12.1
5/12/2009,16:30:00,16.51,94.3,9.33,,1,6,25,12.1
5/12/2009,16:45:00,16.73,94.8,9.34,,2,6,25.4,12.1
5/12/2009,17:00:00,16.93,95.2,9.34,,1,6,29,12.1
5/12/2009,17:15:00,17.13,95.8,9.36,,1,6,33.4,12.1
5/12/2009,17:30:00,17.34,96.2,9.36,,1,6,32.8,12.1
5/12/2009,17:45:00,17.55,96.5,9.35,,1,6,25.7,12.1
5/12/2009,18:00:00,17.76,96.9,9.34,,1,6,26.5,12
5/12/2009,18:15:00,17.97,97.1,9.32,,1,6,27,12
5/12/2009,18:30:00,18.19,97.3,9.3,,1,6,34.7,12
5/12/2009,18:45:00,18.41,97.6,9.29,,2,6,35.1,12
5/12/2009,19:00:00,18.61,97.7,9.26,,1,6,31.1,12
5/12/2009,19:15:00,18.82,97.9,9.24,,1,6,36.1,12.1
5/12/2009,19:30:00,19.01,98.4,9.24,,2,6,25.2,12
5/12/2009,19:45:00,19.2,98.4,9.22,,2,6,41.9,12
5/12/2009,20:00:00,19.37,98.5,9.19,,2,6,28.8,12
5/12/2009,20:15:00,19.55,98.7,9.18,,1,6,30,12
5/12/2009,20:30:00,19.72,98.8,9.15,,2,6,27.4,12
5/12/2009,20:45:00,19.88,98.9,9.13,,1,6,42.6,12
5/12/2009,21:00:00,20.04,98.9,9.11,,1,6,42.2,12
